Index,Weight,Weight-Category,Type
synImage822,85.63,85-90,Digital
synImage823,58.94,55-60,Digital
synImage824,75.46,75-80,Digital
synImage825,84.40,80-85,Digital
synImage826,61.14,60-65,Digital
synImage827,79.31,75-80,Digital
synImage828,76.78,75-80,Digital
synImage829,49.68,45-50,Digital
synImage830,79.10,75-80,Digital
synImage831,88.24,85-90,Digital
synImage832,74.60,70-75,Digital
synImage833,47.51,45-50,Digital
synImage834,61.73,60-65,Digital
synImage835,62.83,60-65,Digital
synImage836,51.79,50-55,Digital
synImage837,65.08,65-70,Digital
synImage838,69.57,65-70,Digital
synImage839,64.76,60-65,Digital
synImage840,86.70,85-90,Digital
synImage841,54.18,50-55,Digital
synImage842,43.70,40-45,Digital
synImage843,56.75,55-60,Digital
synImage844,57.50,55-60,Digital
synImage845,101.36,100-105,Digital
synImage846,100.60,100-105,Digital
synImage847,62.00,60-65,Digital
synImage848,43.74,40-45,Digital
synImage849,53.44,50-55,Digital
synImage850,80.56,80-85,Digital
synImage851,58.55,55-60,Digital
synImage852,67.33,65-70,Digital
synImage853,41.04,40-45,Digital
synImage854,45.87,45-50,Digital
synImage855,106.65,105-110,Digital
synImage856,61.94,60-65,Digital
synImage857,108.82,105-110,Digital
synImage858,107.34,105-110,Digital
synImage859,98.63,95-100,Digital
synImage860,53.22,50-55,Digital
synImage861,43.76,40-45,Digital
synImage862,80.92,80-85,Digital
synImage863,101.38,100-105,Digital
synImage864,73.26,70-75,Digital
synImage865,68.81,65-70,Digital
synImage866,76.04,75-80,Digital
synImage867,67.24,65-70,Digital
synImage868,81.84,80-85,Digital
synImage869,64.69,60-65,Digital
synImage870,76.27,75-80,Digital
synImage871,90.04,90-95,Digital
synImage872,55.18,55-60,Digital
synImage873,101.65,100-105,Digital
synImage874,52.29,50-55,Digital
synImage875,58.79,55-60,Digital
synImage876,89.12,85-90,Digital
synImage877,100.78,100-105,Digital
synImage878,69.62,65-70,Digital
synImage879,108.18,105-110,Digital
synImage880,64.34,60-65,Digital
synImage881,52.65,50-55,Digital
synImage882,66.85,65-70,Digital
synImage883,106.88,105-110,Digital
synImage884,54.14,50-55,Digital
synImage885,89.64,85-90,Digital
synImage886,44.09,40-45,Digital
synImage887,58.25,55-60,Digital
synImage888,89.48,85-90,Digital
synImage889,72.27,70-75,Digital
synImage890,54.06,50-55,Digital
synImage891,106.67,105-110,Digital
synImage892,48.58,45-50,Digital
synImage893,53.93,50-55,Digital
synImage894,72.66,70-75,Digital
synImage895,108.14,105-110,Digital
synImage896,68.80,65-70,Digital
synImage897,41.68,40-45,Digital
synImage898,45.36,45-50,Digital
synImage899,44.59,40-45,Digital
synImage900,97.57,95-100,Digital
synImage901,82.00,80-85,Digital
synImage902,106.31,105-110,Digital
synImage903,90.18,90-95,Digital
synImage904,80.07,80-85,Digital
synImage905,64.18,60-65,Digital
synImage906,89.28,85-90,Digital
synImage907,69.66,65-70,Digital
synImage908,60.84,60-65,Digital
synImage909,81.39,80-85,Digital
synImage910,107.60,105-110,Digital
synImage911,52.07,50-55,Digital
synImage912,86.24,85-90,Digital
synImage913,94.47,90-95,Digital
synImage914,57.55,55-60,Digital
synImage915,79.11,75-80,Digital
synImage916,46.34,45-50,Digital
synImage917,59.30,55-60,Digital
synImage918,45.90,45-50,Digital
synImage919,56.92,55-60,Digital
synImage920,68.63,65-70,Digital
synImage921,52.35,50-55,Digital
synImage922,97.02,95-100,Digital
synImage923,75.26,75-80,Digital
synImage924,99.41,95-100,Digital
synImage925,61.53,60-65,Digital
synImage926,104.61,100-105,Digital
synImage927,99.90,95-100,Digital
synImage928,84.14,80-85,Digital
synImage929,52.05,50-55,Digital
synImage930,101.10,100-105,Digital
synImage931,54.31,50-55,Digital
synImage932,95.98,95-100,Digital
synImage933,40.80,40-45,Digital
synImage934,73.82,70-75,Digital
synImage935,42.53,40-45,Digital
synImage936,58.64,55-60,Digital
synImage937,53.00,50-55,Digital
synImage938,58.28,55-60,Digital
synImage939,48.37,45-50,Digital
synImage940,55.08,55-60,Digital
synImage941,60.59,60-65,Digital
synImage942,97.32,95-100,Digital
synImage943,79.14,75-80,Digital
synImage944,52.25,50-55,Digital
synImage945,57.59,55-60,Digital
synImage946,54.52,50-55,Digital
synImage947,55.18,55-60,Digital
synImage948,68.65,65-70,Digital
synImage949,56.39,55-60,Digital
synImage950,77.31,75-80,Digital
synImage951,84.59,80-85,Digital
synImage952,86.80,85-90,Digital
synImage953,88.48,85-90,Digital
synImage954,103.30,100-105,Digital
synImage955,86.95,85-90,Digital
synImage956,83.22,80-85,Digital
synImage957,51.59,50-55,Digital
synImage958,60.42,60-65,Digital
synImage959,66.02,65-70,Digital
synImage960,55.77,55-60,Digital
synImage961,90.22,90-95,Digital
synImage962,81.70,80-85,Digital
synImage963,70.81,70-75,Digital
synImage964,104.55,100-105,Digital
synImage965,109.52,105-110,Digital
synImage966,100.44,100-105,Digital
synImage967,62.15,60-65,Digital
synImage968,99.22,95-100,Digital
synImage969,42.44,40-45,Digital
synImage970,62.56,60-65,Digital
synImage971,70.29,70-75,Digital
synImage972,87.31,85-90,Digital
synImage973,89.22,85-90,Digital
synImage974,60.45,60-65,Digital
synImage975,75.21,75-80,Digital
synImage976,74.32,70-75,Digital
synImage977,96.55,95-100,Digital
synImage978,94.90,90-95,Digital
synImage979,88.59,85-90,Digital
synImage980,41.01,40-45,Digital
synImage981,78.96,75-80,Digital
synImage982,63.52,60-65,Digital
synImage983,105.42,105-110,Digital
synImage984,101.10,100-105,Digital
synImage985,64.40,60-65,Digital
synImage986,47.76,45-50,Digital
synImage987,66.85,65-70,Digital
synImage988,76.13,75-80,Digital
synImage989,88.72,85-90,Digital
synImage990,98.37,95-100,Digital
synImage991,45.43,45-50,Digital
synImage992,45.09,45-50,Digital
synImage993,98.46,95-100,Digital
synImage994,104.64,100-105,Digital
synImage995,99.50,95-100,Digital
synImage996,78.00,75-80,Digital
synImage997,42.14,40-45,Digital
synImage998,99.80,95-100,Digital
synImage999,91.33,90-95,Digital
synImage1000,88.08,85-90,Digital
synImage1001,94.61,90-95,Digital
synImage1002,61.00,60-65,Digital
synImage1003,45.25,45-50,Digital
synImage1004,70.31,70-75,Digital
synImage1005,97.48,95-100,Digital
synImage1006,54.78,50-55,Digital
synImage1007,108.78,105-110,Digital
synImage1008,48.88,45-50,Digital
synImage1009,105.60,105-110,Digital
synImage1010,66.31,65-70,Digital
synImage1011,42.36,40-45,Digital
synImage1012,82.16,80-85,Digital
synImage1013,84.78,80-85,Digital
synImage1014,76.96,75-80,Digital
synImage1015,74.94,70-75,Digital
synImage1016,64.83,60-65,Digital
synImage1017,56.44,55-60,Digital
synImage1018,50.29,50-55,Digital
synImage1019,50.48,50-55,Digital
synImage1020,87.39,85-90,Digital
synImage1021,45.81,45-50,Digital
synImage1022,76.64,75-80,Digital
synImage1023,58.66,55-60,Digital
synImage1024,106.05,105-110,Digital
synImage1025,55.11,55-60,Digital
synImage1026,93.58,90-95,Digital
synImage1027,46.20,45-50,Digital
synImage1028,104.52,100-105,Digital
synImage1029,51.46,50-55,Digital
synImage1030,49.18,45-50,Digital
synImage1031,89.81,85-90,Digital
synImage1032,80.95,80-85,Digital
synImage1033,58.10,55-60,Digital
synImage1034,84.25,80-85,Digital
synImage1035,99.66,95-100,Digital
synImage1036,91.85,90-95,Digital
synImage1037,80.79,80-85,Digital
synImage1038,109.03,105-110,Digital
synImage1039,87.60,85-90,Digital
synImage1040,40.82,40-45,Digital
synImage1041,108.73,105-110,Digital
synImage1042,104.43,100-105,Digital
synImage1043,83.52,80-85,Digital
synImage1044,47.69,45-50,Digital
synImage1045,72.27,70-75,Digital
synImage1046,69.10,65-70,Digital
synImage1047,46.91,45-50,Digital
synImage1048,43.94,40-45,Digital
synImage1049,64.97,60-65,Digital
synImage1050,63.51,60-65,Digital
synImage1051,52.31,50-55,Digital
synImage1052,96.79,95-100,Digital
synImage1053,47.38,45-50,Digital
synImage1054,88.42,85-90,Digital
synImage1055,59.52,55-60,Digital
synImage1056,45.86,45-50,Digital
synImage1057,73.04,70-75,Digital
synImage1058,56.93,55-60,Digital
synImage1059,103.42,100-105,Digital
synImage1060,57.71,55-60,Digital
synImage1061,72.82,70-75,Digital
synImage1062,74.72,70-75,Digital
synImage1063,58.15,55-60,Digital
synImage1064,65.19,65-70,Digital
synImage1065,86.70,85-90,Digital
synImage1066,70.09,70-75,Digital
synImage1067,105.14,105-110,Digital
synImage1068,95.61,95-100,Digital
synImage1069,105.09,105-110,Digital
synImage1070,89.00,85-90,Digital
synImage1071,72.85,70-75,Digital
synImage1072,99.82,95-100,Digital
synImage1073,51.90,50-55,Digital
synImage1074,74.66,70-75,Digital
synImage1075,87.35,85-90,Digital
synImage1076,92.40,90-95,Digital
synImage1077,72.90,70-75,Digital
synImage1078,65.01,65-70,Digital
synImage1079,47.57,45-50,Digital
synImage1080,71.29,70-75,Digital
synImage1081,85.37,85-90,Digital
synImage1082,58.13,55-60,Digital
synImage1083,109.64,105-110,Digital
synImage1084,44.82,40-45,Digital
synImage1085,68.95,65-70,Digital
synImage1086,72.97,70-75,Digital
synImage1087,79.79,75-80,Digital
synImage1088,51.58,50-55,Digital
synImage1089,67.70,65-70,Digital
synImage1090,105.19,105-110,Digital
synImage1091,87.13,85-90,Digital
synImage1092,70.28,70-75,Digital
synImage1093,102.90,100-105,Digital
synImage1094,91.60,90-95,Digital
synImage1095,88.22,85-90,Digital
synImage1096,107.64,105-110,Digital
synImage1097,90.95,90-95,Digital
synImage1098,78.89,75-80,Digital
synImage1099,90.39,90-95,Digital
synImage1100,63.77,60-65,Digital
synImage1101,72.01,70-75,Digital
synImage1102,74.70,70-75,Digital
synImage1103,95.76,95-100,Digital
synImage1104,62.70,60-65,Digital
synImage1105,70.10,70-75,Digital
synImage1106,78.64,75-80,Digital
synImage1107,98.96,95-100,Digital
synImage1108,89.60,85-90,Digital
synImage1109,49.98,45-50,Digital
synImage1110,89.67,85-90,Digital
synImage1111,96.49,95-100,Digital
synImage1112,109.50,105-110,Digital
synImage1113,75.47,75-80,Digital
synImage1114,105.88,105-110,Digital
synImage1115,42.77,40-45,Digital
synImage1116,72.97,70-75,Digital
synImage1117,96.43,95-100,Digital
synImage1118,64.31,60-65,Digital
synImage1119,42.06,40-45,Digital
synImage1120,45.03,45-50,Digital
synImage1121,52.83,50-55,Digital
synImage1122,104.81,100-105,Digital
synImage1123,108.88,105-110,Digital
synImage1124,106.27,105-110,Digital
synImage1125,54.27,50-55,Digital
synImage1126,101.93,100-105,Digital
synImage1127,96.87,95-100,Digital
synImage1128,98.58,95-100,Digital
synImage1129,42.42,40-45,Digital
synImage1130,63.51,60-65,Digital
synImage1131,71.04,70-75,Digital
synImage1132,68.06,65-70,Digital
synImage1133,99.87,95-100,Digital
synImage1134,109.48,105-110,Digital
synImage1135,86.68,85-90,Digital
synImage1136,93.84,90-95,Digital
synImage1137,41.10,40-45,Digital
synImage1138,90.06,90-95,Digital
synImage1139,62.44,60-65,Digital
synImage1140,79.15,75-80,Digital
synImage1141,79.63,75-80,Digital
synImage1142,65.65,65-70,Digital
synImage1143,77.13,75-80,Digital
synImage1144,41.38,40-45,Digital
synImage1145,63.43,60-65,Digital
synImage1146,50.98,50-55,Digital
synImage1147,108.31,105-110,Digital
synImage1148,40.10,40-45,Digital
synImage1149,89.74,85-90,Digital
synImage1150,80.20,80-85,Digital
synImage1151,57.12,55-60,Digital
synImage1152,88.63,85-90,Digital
synImage1153,78.80,75-80,Digital
synImage1154,98.98,95-100,Digital
synImage1155,66.09,65-70,Digital
synImage1156,96.60,95-100,Digital
synImage1157,75.80,75-80,Digital
synImage1158,46.85,45-50,Digital
synImage1159,109.09,105-110,Digital
synImage1160,76.20,75-80,Digital
synImage1161,93.27,90-95,Digital
synImage1162,54.97,50-55,Digital
synImage1163,101.99,100-105,Digital
synImage1164,86.27,85-90,Digital
synImage1165,91.57,90-95,Digital
synImage1166,42.55,40-45,Digital
synImage1167,55.27,55-60,Digital
synImage1168,106.83,105-110,Digital
synImage1169,92.72,90-95,Digital
synImage1170,61.20,60-65,Digital
synImage1171,93.66,90-95,Digital
synImage1172,78.79,75-80,Digital
synImage1173,102.78,100-105,Digital
synImage1174,85.89,85-90,Digital
synImage1175,98.22,95-100,Digital
synImage1176,85.81,85-90,Digital
synImage1177,62.12,60-65,Digital
synImage1178,69.31,65-70,Digital
synImage1179,45.71,45-50,Digital
synImage1180,63.86,60-65,Digital
synImage1181,80.46,80-85,Digital
synImage1182,101.92,100-105,Digital
synImage1183,94.35,90-95,Digital
synImage1184,68.87,65-70,Digital
synImage1185,106.39,105-110,Digital
synImage1186,91.55,90-95,Digital
synImage1187,105.37,105-110,Digital
synImage1188,50.39,50-55,Digital
synImage1189,85.21,85-90,Digital
synImage1190,80.06,80-85,Digital
synImage1191,66.25,65-70,Digital
synImage1192,84.03,80-85,Digital
synImage1193,107.12,105-110,Digital
synImage1194,94.41,90-95,Digital
synImage1195,70.70,70-75,Digital
synImage1196,79.26,75-80,Digital
synImage1197,101.45,100-105,Digital
synImage1198,107.96,105-110,Digital
synImage1199,48.71,45-50,Digital
synImage1200,72.64,70-75,Digital
synImage1201,108.70,105-110,Digital
synImage1202,100.59,100-105,Digital
synImage1203,46.73,45-50,Digital
synImage1204,51.88,50-55,Digital
synImage1205,72.64,70-75,Digital
synImage1206,68.74,65-70,Digital
synImage1207,58.23,55-60,Digital
synImage1208,51.85,50-55,Digital
synImage1209,86.68,85-90,Digital
synImage1210,85.49,85-90,Digital
synImage1211,60.03,60-65,Digital
synImage1212,61.36,60-65,Digital
synImage1213,81.81,80-85,Digital
synImage1214,96.26,95-100,Digital
synImage1215,43.67,40-45,Digital
synImage1216,86.35,85-90,Digital
synImage1217,62.23,60-65,Digital
synImage1218,72.34,70-75,Digital
synImage1219,53.91,50-55,Digital
synImage1220,88.15,85-90,Digital
synImage1221,53.87,50-55,Digital
synImage1222,91.08,90-95,Digital
synImage1223,73.95,70-75,Digital
synImage1224,47.30,45-50,Digital
synImage1225,108.99,105-110,Digital
synImage1226,99.46,95-100,Digital
synImage1227,81.26,80-85,Digital
synImage1228,109.98,105-110,Digital
synImage1229,60.08,60-65,Digital
synImage1230,95.98,95-100,Digital
synImage1231,78.28,75-80,Digital
synImage1232,73.84,70-75,Digital
synImage1233,102.76,100-105,Digital
synImage1234,82.54,80-85,Digital
synImage1235,102.21,100-105,Digital
synImage1236,105.90,105-110,Digital
synImage1237,63.43,60-65,Digital
synImage1238,84.66,80-85,Digital
synImage1239,109.68,105-110,Digital
synImage1240,49.28,45-50,Digital
synImage1241,66.55,65-70,Digital
synImage1242,85.29,85-90,Digital
synImage1243,77.66,75-80,Digital
synImage1244,77.50,75-80,Digital
synImage1245,41.17,40-45,Digital
synImage1246,54.46,50-55,Digital
synImage1247,101.81,100-105,Digital
synImage1248,57.45,55-60,Digital
synImage1249,95.91,95-100,Digital
synImage1250,93.74,90-95,Digital
synImage1251,67.49,65-70,Digital
synImage1252,45.37,45-50,Digital
synImage1253,106.02,105-110,Digital
synImage1254,40.43,40-45,Digital
synImage1255,60.46,60-65,Digital
synImage1256,106.63,105-110,Digital
synImage1257,43.92,40-45,Digital
synImage1258,55.95,55-60,Digital
synImage1259,101.90,100-105,Digital
synImage1260,94.87,90-95,Digital
synImage1261,47.10,45-50,Digital
synImage1262,75.53,75-80,Digital
synImage1263,59.69,55-60,Digital
synImage1264,86.26,85-90,Digital
synImage1265,104.97,100-105,Digital
synImage1266,49.97,45-50,Digital
synImage1267,65.52,65-70,Digital
synImage1268,85.47,85-90,Digital
synImage1269,95.44,95-100,Digital
synImage1270,71.71,70-75,Digital
synImage1271,102.23,100-105,Digital
synImage1272,72.60,70-75,Digital
synImage1273,42.85,40-45,Digital
synImage1274,94.60,90-95,Digital
synImage1275,79.20,75-80,Digital
synImage1276,77.78,75-80,Digital
synImage1277,48.29,45-50,Digital
synImage1278,64.25,60-65,Digital
synImage1279,63.34,60-65,Digital
synImage1280,54.14,50-55,Digital
synImage1281,43.12,40-45,Digital
synImage1282,92.69,90-95,Digital
synImage1283,79.82,75-80,Digital
synImage1284,49.67,45-50,Digital
synImage1285,53.70,50-55,Digital
synImage1286,89.34,85-90,Digital
synImage1287,99.60,95-100,Digital
synImage1288,100.53,100-105,Digital
synImage1289,41.82,40-45,Digital
synImage1290,103.89,100-105,Digital
synImage1291,93.27,90-95,Digital
synImage1292,93.50,90-95,Digital
synImage1293,74.92,70-75,Digital
synImage1294,57.46,55-60,Digital
synImage1295,65.89,65-70,Digital
synImage1296,41.01,40-45,Digital
synImage1297,69.79,65-70,Digital
synImage1298,52.30,50-55,Digital
synImage1299,53.99,50-55,Digital
synImage1300,104.49,100-105,Digital
synImage1301,99.56,95-100,Digital
synImage1302,70.69,70-75,Digital
synImage1303,47.79,45-50,Digital
synImage1304,70.12,70-75,Digital
synImage1305,57.35,55-60,Digital
synImage1306,109.40,105-110,Digital
synImage1307,68.41,65-70,Digital
synImage1308,74.20,70-75,Digital
synImage1309,52.22,50-55,Digital
synImage1310,55.51,55-60,Digital
synImage1311,68.03,65-70,Digital
synImage1312,98.81,95-100,Digital
synImage1313,96.15,95-100,Digital
synImage1314,90.51,90-95,Digital
synImage1315,73.26,70-75,Digital
synImage1316,97.43,95-100,Digital
synImage1317,45.15,45-50,Digital
synImage1318,66.53,65-70,Digital
synImage1319,89.12,85-90,Digital
synImage1320,42.58,40-45,Digital
synImage1321,102.65,100-105,Digital
synImage1322,82.08,80-85,Digital
synImage1323,64.03,60-65,Digital
synImage1324,71.37,70-75,Digital
synImage1325,89.58,85-90,Digital
synImage1326,87.26,85-90,Digital
synImage1327,45.04,45-50,Digital
synImage1328,90.25,90-95,Digital
synImage1329,82.71,80-85,Digital
synImage1330,69.30,65-70,Digital
synImage1331,69.24,65-70,Digital
synImage1332,60.01,60-65,Digital
synImage1333,40.76,40-45,Digital
synImage1334,56.12,55-60,Digital
synImage1335,45.29,45-50,Digital
synImage1336,54.19,50-55,Digital
synImage1337,109.21,105-110,Digital
synImage1338,41.20,40-45,Digital
synImage1339,43.22,40-45,Digital
synImage1340,66.61,65-70,Digital
synImage1341,91.18,90-95,Digital
synImage1342,79.64,75-80,Digital
synImage1343,70.74,70-75,Digital
synImage1344,52.77,50-55,Digital
synImage1345,84.89,80-85,Digital
synImage1346,45.25,45-50,Digital
synImage1347,108.39,105-110,Digital
synImage1348,55.28,55-60,Digital
synImage1349,65.83,65-70,Digital
synImage1350,100.44,100-105,Digital
synImage1351,82.46,80-85,Digital
synImage1352,71.48,70-75,Digital
synImage1353,79.96,75-80,Digital
synImage1354,75.92,75-80,Digital
synImage1355,106.44,105-110,Digital
synImage1356,60.80,60-65,Digital
synImage1357,73.52,70-75,Digital
synImage1358,95.88,95-100,Digital
synImage1359,76.26,75-80,Digital
synImage1360,66.35,65-70,Digital
synImage1361,57.69,55-60,Digital
synImage1362,42.95,40-45,Digital
synImage1363,51.44,50-55,Digital
synImage1364,82.84,80-85,Digital
synImage1365,82.90,80-85,Digital
synImage1366,67.16,65-70,Digital
synImage1367,81.63,80-85,Digital
synImage1368,108.32,105-110,Digital
synImage1369,72.69,70-75,Digital
synImage1370,82.05,80-85,Digital
synImage1371,42.02,40-45,Digital
synImage1372,44.32,40-45,Digital
synImage1373,59.92,55-60,Digital
synImage1374,72.01,70-75,Digital
synImage1375,51.56,50-55,Digital
synImage1376,106.76,105-110,Digital
synImage1377,48.16,45-50,Digital
synImage1378,92.62,90-95,Digital
synImage1379,109.22,105-110,Digital
synImage1380,45.14,45-50,Digital
synImage1381,75.35,75-80,Digital
synImage1382,68.86,65-70,Digital
synImage1383,44.45,40-45,Digital
synImage1384,69.54,65-70,Digital
synImage1385,50.89,50-55,Digital
synImage1386,56.48,55-60,Digital
synImage1387,73.04,70-75,Digital
synImage1388,87.38,85-90,Digital
synImage1389,56.32,55-60,Digital
synImage1390,53.11,50-55,Digital
synImage1391,50.44,50-55,Digital
synImage1392,70.38,70-75,Digital
synImage1393,56.95,55-60,Digital
synImage1394,42.69,40-45,Digital
synImage1395,92.23,90-95,Digital
synImage1396,92.67,90-95,Digital
synImage1397,72.17,70-75,Digital
synImage1398,105.14,105-110,Digital
synImage1399,98.18,95-100,Digital
synImage1400,41.31,40-45,Digital
synImage1401,105.59,105-110,Digital
synImage1402,94.13,90-95,Digital
synImage1403,48.44,45-50,Digital
synImage1404,62.24,60-65,Digital
synImage1405,81.93,80-85,Digital
synImage1406,97.13,95-100,Digital
synImage1407,41.98,40-45,Digital
synImage1408,51.19,50-55,Digital
synImage1409,51.65,50-55,Digital
synImage1410,85.01,85-90,Digital
synImage1411,98.43,95-100,Digital
synImage1412,50.83,50-55,Digital
synImage1413,98.95,95-100,Digital
synImage1414,90.89,90-95,Digital
synImage1415,104.88,100-105,Digital
synImage1416,90.45,90-95,Digital
synImage1417,67.70,65-70,Digital
synImage1418,109.46,105-110,Digital
synImage1419,88.60,85-90,Digital
synImage1420,58.78,55-60,Digital
synImage1421,97.42,95-100,Digital
synImage1422,109.90,105-110,Digital
synImage1423,106.00,105-110,Digital
synImage1424,40.66,40-45,Digital
synImage1425,84.98,80-85,Digital
synImage1426,57.71,55-60,Digital
synImage1427,69.05,65-70,Digital
synImage1428,79.30,75-80,Digital
synImage1429,72.97,70-75,Digital
synImage1430,46.78,45-50,Digital
synImage1431,87.30,85-90,Digital
synImage1432,89.20,85-90,Digital
synImage1433,72.05,70-75,Digital
synImage1434,75.33,75-80,Digital
synImage1435,83.32,80-85,Digital
synImage1436,62.64,60-65,Digital
synImage1437,60.59,60-65,Digital
synImage1438,46.48,45-50,Digital
synImage1439,41.03,40-45,Digital
synImage1440,73.56,70-75,Digital
synImage1441,107.90,105-110,Digital
synImage1442,49.46,45-50,Digital
synImage1443,74.34,70-75,Digital
synImage1444,100.26,100-105,Digital
synImage1445,106.47,105-110,Digital
synImage1446,61.83,60-65,Digital
synImage1447,90.35,90-95,Digital
synImage1448,49.26,45-50,Digital
synImage1449,51.94,50-55,Digital
synImage1450,58.93,55-60,Digital
synImage1451,83.35,80-85,Digital
synImage1452,85.84,85-90,Digital
synImage1453,92.39,90-95,Digital
synImage1454,46.92,45-50,Digital
synImage1455,40.94,40-45,Digital
synImage1456,52.54,50-55,Digital
synImage1457,85.74,85-90,Digital
synImage1458,84.14,80-85,Digital
synImage1459,106.09,105-110,Digital
synImage1460,76.89,75-80,Digital
synImage1461,57.88,55-60,Digital
synImage1462,101.02,100-105,Digital
synImage1463,106.40,105-110,Digital
synImage1464,85.18,85-90,Digital
synImage1465,73.96,70-75,Digital
synImage1466,79.01,75-80,Digital
synImage1467,88.14,85-90,Digital
synImage1468,109.13,105-110,Digital
synImage1469,40.82,40-45,Digital
synImage1470,77.24,75-80,Digital
synImage1471,48.35,45-50,Digital
synImage1472,64.21,60-65,Digital
synImage1473,91.51,90-95,Digital
synImage1474,86.62,85-90,Digital
synImage1475,96.79,95-100,Digital
synImage1476,41.14,40-45,Digital
synImage1477,74.69,70-75,Digital
synImage1478,57.30,55-60,Digital
synImage1479,109.19,105-110,Digital
synImage1480,73.13,70-75,Digital
synImage1481,108.41,105-110,Digital
synImage1482,88.07,85-90,Digital
synImage1483,65.58,65-70,Digital
synImage1484,57.42,55-60,Digital
synImage1485,42.35,40-45,Digital
synImage1486,45.50,45-50,Digital
synImage1487,63.59,60-65,Digital
synImage1488,86.32,85-90,Digital
synImage1489,108.07,105-110,Digital
synImage1490,72.31,70-75,Digital
synImage1491,80.06,80-85,Digital
synImage1492,101.36,100-105,Digital
synImage1493,42.30,40-45,Digital
synImage1494,86.42,85-90,Digital
synImage1495,107.13,105-110,Digital
synImage1496,45.42,45-50,Digital
synImage1497,66.25,65-70,Digital
synImage1498,46.94,45-50,Digital
synImage1499,92.58,90-95,Digital
synImage1500,51.73,50-55,Digital
synImage1501,73.25,70-75,Digital
synImage1502,86.67,85-90,Digital
synImage1503,85.72,85-90,Digital
synImage1504,96.48,95-100,Digital
synImage1505,61.16,60-65,Digital
synImage1506,40.22,40-45,Digital
synImage1507,83.43,80-85,Digital
synImage1508,68.28,65-70,Digital
synImage1509,59.89,55-60,Digital
synImage1510,55.82,55-60,Digital
synImage1511,101.50,100-105,Digital
synImage1512,60.63,60-65,Digital
synImage1513,74.58,70-75,Digital
synImage1514,55.46,55-60,Digital
synImage1515,63.01,60-65,Digital
synImage1516,82.28,80-85,Digital
synImage1517,104.35,100-105,Digital
synImage1518,41.46,40-45,Digital
synImage1519,57.40,55-60,Digital
synImage1520,89.74,85-90,Digital
synImage1521,98.15,95-100,Digital
synImage1522,89.25,85-90,Digital
synImage1523,109.19,105-110,Digital
synImage1524,101.59,100-105,Digital
synImage1525,70.57,70-75,Digital
synImage1526,96.67,95-100,Digital
synImage1527,89.40,85-90,Digital
synImage1528,64.09,60-65,Digital
synImage1529,64.01,60-65,Digital
synImage1530,42.95,40-45,Digital
synImage1531,93.80,90-95,Digital
synImage1532,96.12,95-100,Digital
synImage1533,59.53,55-60,Digital
synImage1534,90.14,90-95,Digital
synImage1535,69.85,65-70,Digital
synImage1536,52.69,50-55,Digital
synImage1537,63.91,60-65,Digital
synImage1538,95.90,95-100,Digital
synImage1539,46.84,45-50,Digital
synImage1540,77.96,75-80,Digital
synImage1541,84.96,80-85,Digital
synImage1542,66.71,65-70,Digital
synImage1543,103.32,100-105,Digital
synImage1544,41.41,40-45,Digital
synImage1545,98.22,95-100,Digital
synImage1546,83.64,80-85,Digital
synImage1547,83.22,80-85,Digital
synImage1548,64.04,60-65,Digital
synImage1549,52.36,50-55,Digital
synImage1550,90.99,90-95,Digital
synImage1551,99.00,95-100,Digital
synImage1552,43.49,40-45,Digital
synImage1553,67.76,65-70,Digital
synImage1554,89.65,85-90,Digital
synImage1555,55.71,55-60,Digital
synImage1556,91.41,90-95,Digital
synImage1557,56.74,55-60,Digital
synImage1558,93.56,90-95,Digital
synImage1559,68.83,65-70,Digital
synImage1560,83.38,80-85,Digital
synImage1561,80.07,80-85,Digital
synImage1562,53.29,50-55,Digital
synImage1563,60.27,60-65,Digital
synImage1564,69.04,65-70,Digital
synImage1565,43.17,40-45,Digital
synImage1566,109.63,105-110,Digital
synImage1567,93.21,90-95,Digital
synImage1568,99.51,95-100,Digital
synImage1569,42.76,40-45,Digital
synImage1570,85.83,85-90,Digital
synImage1571,89.07,85-90,Digital
synImage1572,106.00,105-110,Digital
synImage1573,96.14,95-100,Digital
synImage1574,86.84,85-90,Digital
synImage1575,66.76,65-70,Digital
synImage1576,105.71,105-110,Digital
synImage1577,66.90,65-70,Digital
synImage1578,81.73,80-85,Digital
synImage1579,89.31,85-90,Digital
synImage1580,58.25,55-60,Digital
synImage1581,46.01,45-50,Digital
synImage1582,106.07,105-110,Digital
synImage1583,93.15,90-95,Digital
synImage1584,79.61,75-80,Digital
synImage1585,86.75,85-90,Digital
synImage1586,46.53,45-50,Digital
synImage1587,76.56,75-80,Digital
synImage1588,61.98,60-65,Digital
synImage1589,52.62,50-55,Digital
synImage1590,74.45,70-75,Digital
synImage1591,95.78,95-100,Digital
synImage1592,103.99,100-105,Digital
synImage1593,99.25,95-100,Digital
synImage1594,70.19,70-75,Digital
synImage1595,65.47,65-70,Digital
synImage1596,89.17,85-90,Digital
synImage1597,53.42,50-55,Digital
synImage1598,92.29,90-95,Digital
synImage1599,45.65,45-50,Digital
synImage1600,93.64,90-95,Digital
synImage1601,76.68,75-80,Digital
synImage1602,66.74,65-70,Digital
synImage1603,40.01,40-45,Digital
synImage1604,60.60,60-65,Digital
synImage1605,109.19,105-110,Digital
synImage1606,42.93,40-45,Digital
synImage1607,89.40,85-90,Digital
